SALAM,PLETHOD,DESMOGN,TPLE_CIN,TPLE_JOR,TPLE_YON,TDES_WRI,TDES_CAR,TEUR_WIL
5.01,3.05,3.57,0.25,2.43,0.25,0.00,3.54,1.49
3.15,2.07,1.76,0.00,1.53,0.25,0.50,1.66,1.31
6.80,4.06,3.21,1.71,0.66,1.29,0.00,2.96,4.04
5.53,3.60,2.76,3.28,0.35,0.25,0.00,2.76,2.77
2.90,2.58,0.60,2.58,0.00,0.00,0.00,0.60,0.68
2.38,2.38,0.00,2.38,0.00,0.00,0.00,0.00,0.00
2.24,2.19,0.00,2.19,0.00,0.00,0.00,0.00,0.00
1.41,1.41,0.00,1.41,0.00,0.00,0.00,0.00,0.00
4.81,3.11,3.21,2.22,1.08,0.60,1.27,2.69,0.85
4.32,2.06,3.40,0.75,0.61,1.00,0.61,3.18,1.30
4.34,1.41,4.01,0.00,0.97,0.50,1.61,3.49,0.25
7.11,3.70,5.53,0.25,3.12,1.49,3.71,3.98,1.93
4.30,3.18,2.00,0.00,2.65,1.24,1.46,1.33,1.06
7.16,3.87,4.02,0.35,2.23,2.08,2.15,3.33,3.65
4.54,2.02,1.85,1.11,0.75,0.56,0.35,1.72,3.05
2.09,1.75,0.50,1.75,0.00,0.00,0.00,0.50,0.25
2.37,2.32,0.25,2.32,0.00,0.00,0.00,0.25,0.00
1.95,1.89,0.25,1.89,0.00,0.00,0.00,0.25,0.00
0.35,0.35,0.00,0.25,0.00,0.00,0.00,0.00,0.00
6.07,3.34,4.63,0.50,2.17,1.89,4.10,1.96,0.00
5.26,1.93,4.34,0.00,0.93,1.30,3.07,2.96,0.93
4.61,1.54,3.84,0.00,0.93,0.43,2.89,2.41,0.60
11.14,4.73,9.82,0.00,4.53,1.14,6.67,6.75,2.04
6.13,3.14,4.77,0.50,2.84,0.85,2.72,3.79,1.80
10.32,3.80,8.85,1.34,2.87,1.35,4.96,6.89,3.44
6.41,1.97,5.22,1.55,0.75,0.25,0.68,5.14,3.02
2.77,2.31,0.96,2.31,0.00,0.00,0.00,0.96,0.00
2.38,2.29,0.50,2.29,0.00,0.00,0.25,0.25,0.00
1.87,1.66,0.43,1.66,0.00,0.00,0.35,0.00,0.00
1.91,1.00,1.41,1.00,0.00,0.00,1.04,0.60,0.00
9.92,3.92,8.82,1.79,3.34,0.60,7.25,4.46,1.31
9.16,2.66,8.58,0.93,2.30,0.50,5.18,6.34,1.43
9.18,2.13,8.90,0.00,1.93,0.60,7.01,5.16,0.50
